algorithm,reachGoal,collision,Obscollision,maxSteps,nSteps,discountedReturn,undiscountedReturn,simNum,simNumStd,std_nSteps,std_undiscountedReturn,std_discountedReturn
MCTS,0.03333333333333333,0.8333333333333334,0.13333333333333333,0.0,230.0,9.425128412038848,212.122063111904,40.716430141167855,6.539253956055037,,,
VO-PLANNER,0.8,0.0,0.2,0.0,227.20833333333334,9.430724753541002,204.97594572047024,,,23.885558974749404,14.33357102976754,0.15465704381798465
VO-TREE,0.9,0.0,0.0,0.1,265.51851851851853,9.44528560540736,225.58777375019542,41.41389134847289,12.531094185728032,25.878964386559172,7.5421680910634485,0.04557400958115112
